id;name;imageName
K22DsUV7Tp6fNt;промыть;img_action_water
Gsj5JjcYcr3LHA;замочить;img_action_water
0IvWNjZHx3tcwr;разогреть сковороду;img_action_fire
jqRAoluiluPuhQ;накалить масло;img_action_fire
M7Abr3xfOrGHFZ;пожарить;img_action_fire
GiJ5GvbeIMTMIT;нарезать;img_action_cut
1BhEVf922clkBf;натереть;img_action_cut
EJ85ICqMUkbeHn;очистить;img_action_cut
BmK3F1ET4Z1nep;долить;img_action_bake
oMhe1oE0np0FLM;добавить;img_action_bake
GZe4VjfDVVI6xm;довести до кипения;img_action_bake
lW0BEDaw8pDHGY;закрыть крышкой;
DmM464cVos2IDa;оставить на плите;img_action_mix
BcXgk6RAfxZejs;посолить;img_action_mix
czLwoY65JJSFZ4;выложить;img_action_mix
ezxyosTa2TTNYI;смазать;img_action_mix
iGIwPi5rSfDUyo;отварить;img_action_mix
57zTCFzX4sTRbT;сбрызнуть;img_action_mix
seDTBDWxkCNRB9;вымыть;img_action_seasoning
OsRNxUNnt2TMW7;залить;img_action_seasoning
eI5W7VISjrNKaK;загрузить;img_action_seasoning
lavxenBWBFl1jP;положить;img_action_seasoning
3e3R5KQkFIUn8s;смешать;img_action_seasoning
1GEFSL2RJF3CC8;раскатать ;img_action_seasoning
bM7AyH4ozxYarr;свернуть;img_action_bake
Lp2ItchC6L1SGk;варить;img_action_bake
a268z88fYh1fyb;замесить;img_action_cut
QuLOg0L2K3SBgb;удалить косточки;
wnWFI0kqmc9XxU;засыпать;img_action_fire
bcbvp0zHRkJzuF;свернуть в рулет;img_action_fire
K61oGgjpIfcTpM;выпекать;img_action_fire