id;ingredient;measurementWayName;measurementWayPortion
zqc1QsUX9L9Eos;e7gr24psgKN9Ih;грамм;100
9MFRBkNVtiVUbZ;Pmmsqgre1E9pbK;грамм;600
rLWSEFgqtYH1Zl;6rV76FJ68j9A0O;грамм;600
kGrr7F3ZVuiIcv;xhSHnfJa0wHLF3;грамм;600
pwHsFHC37I706t;X4Pv1cobqyC74F;миллилитров;200
krfbRH04cQAoyM;cLDnllPcgkqcw3;головки;2
o0uoRZusuMeqeQ;JPTcEpFXAK2vnw;чайные ложки;2
slmpWe086FFzC5;5wMe8CtjQ3OoyW;шепотка;2
Qz4W2nA7UiB5lL;zhQQvYK1uqg97i;грамм;300
88IxCMUEbc45uC;sgWlkDsBXQfTAz;грамм;300
hZkMPoFfFwFSOy;pmrZwyaaAUIh0A;грамм;200
k6eXnB3hVWS9wb;4HaQW8AwQFqwDe;штук;2
3KAfAuCrGkUscv;e7gr24psgKN9Ih;грамм;150
DZcYnwOLmukABy;Lb24yrtSMm3gx9;грамм;150
4XugksCPbNQyu9;JPTcEpFXAK2vnw;шепотка;4
cu8VrvCJ0eaaYI;59eZgHe7Rr4jCh;грамм;600
bK2TDGymeJ4Zuu;sgWlkDsBXQfTAz;штуки;4
RJgv3JySuN8Vf8;Pmmsqgre1E9pbK;штуки;2
MvNPc5OmJm7l1g;e7gr24psgKN9Ih;штуки;2
6S4lnVaMgwa9R1;4HaQW8AwQFqwDe;штуки;2
eWIP3wRRbnFkw5;sOxXeTJTZTE2zS;стакана;0.5
hxBeiVsfvVypim;X4Pv1cobqyC74F;столовых ложки;6
yS09waNeZGTYcR;Ua9q54VvtAHtFR;столовых ложки;2
lpy4WtYW3KWozu;SmyBaXEjSMK2R4;штуки;3
Jfik2GHhNlhlF6;8bZRQsipzM3J6p;горошин;8
99xTXCvirXLXXu;sOxXeTJTZTE2zS;грамм;250
kb7RReEqxAJS9a;e7T2p3cW9xJlWi;грамм;70
D5M3bwpmPuqj7Q;FcXCtKpbeKQEBZ;миллилитров;80
UybYRQRHqUY7s0;rNRZDpncHquft8;грамм;300
b9Zbk87mcfLBBY;vMNWxCX1Fu0qwt;грамм;50
6YT2IJmDAYncDW;JPTcEpFXAK2vnw;грамм;5
JsaFz8UU2CLjKO;DZJHMMAMPHEZrE;грамм;10